YEAR,MONTH,STATNAME,STATCD,DISTNAME,DISTCD
2017,8,SIKKIM,11,SOUTH SIKKIM,1103
2017,1,SIKKIM,11,WEST SIKKIM,1102
2017,9,ANDHRA PRADESH,28,SRIKAKULAM,2811
2017,11,MANIPUR,14,CHURACHANDPUR,1403
2017,2,DELHI,7,NEW DELHI,705
2017,12,MIZORAM,15,CHAMPHAI,1504
2017,5,CHHATTISGARH,22,KANKER,2214
2017,5,CHHATTISGARH,22,KANKER,2214
2017,2,CHHATTISGARH,22,JASHPUR,2203
2017,11,PUDUCHERRY,34,PONDICHERRY,3402
2017,9,JAMMU & KASHMIR,1,RAMBAN,118
2017,2,WEST BENGAL,19,BANKURA,1913
2017,12,TRIPURA,16,DHALAI,1603
2017,1,MIZORAM,15,LAWNGTLAI,1507
2017,3,MANIPUR,14,TAMENGLONG,1402
2017,5,MANIPUR,14,CHURACHANDPUR,1403
2017,6,DAMAN & DIU,25,DAMAN,2502
2017,6,MADHYA PRADESH,23,ALIRAJPUR,2349
2017,7,TRIPURA,16,DHALAI,1603
2017,11,ANDHRA PRADESH,28,WEST GODAVARI,2815
2017,12,ANDHRA PRADESH,28,PRAKASAM,2818
2017,8,ARUNACHAL PRADESH,12,Anjaw,1216
2017,9,MIZORAM,15,CHAMPHAI,1504
2017,5,MANIPUR,14,SENAPATI,1401
2017,10,RAJASTHAN,8,BARMER,817
2017,2,SIKKIM,11,SOUTH SIKKIM,1103
2017,10,JHARKHAND,20,GARHWA,2001
2017,11,PUDUCHERRY,34,PONDICHERRY,3402
2017,8,NAGALAND,13,MON,1301
2017,7,KARNATAKA,29,KODAGU,2925
2017,6,TAMIL NADU,33,VILUPPURAM,3307
2017,4,HARYANA,6,FATEHABAD,610
2017,11,SIKKIM,11,NORTH SIKKIM,1101
2017,12,JHARKHAND,20,GARHWA,2001
2017,9,UTTAR PRADESH,9,KUSHINAGAR,959
2017,2,MIZORAM,15,LAWNGTLAI,1507
2017,1,DAMAN & DIU,25,DAMAN,2502
2017,6,MEGHALAYA,17,JAINTIA HILLS,1707
2017,6,KERALA,32,IDUKKI,3209
2017,11,RAJASTHAN,8,DUNGARPUR,827
2017,8,HARYANA,6,FATEHABAD,610
2017,2,A & N ISLANDS,35,MIDDLE AND NORTH ANDAMANS,3503
2017,2,BIHAR,10,MADHUBANI,1005
2017,10,MANIPUR,14,CHURACHANDPUR,1403
2017,2,JHARKHAND,20,CHATRA,2003
2017,5,HARYANA,6,MAHENDRAGARH,616
2017,10,JAMMU & KASHMIR,1,RAMBAN,118
2017,4,WEST BENGAL,19,BANKURA,1913
2017,2,ASSAM,18,BAKSA,1824
2017,8,ASSAM,18,UDALGURI,1826
2017,6,UTTARAKHAND,5,BAGESHWAR,508
2017,1,MADHYA PRADESH,23,SIDHI,2317
2017,12,MADHYA PRADESH,23,DINDORI,2341
2017,5,ANDHRA PRADESH,28,WEST GODAVARI,2815
2017,1,MANIPUR,14,TAMENGLONG,1402
2017,9,NAGALAND,13,KIPHIRE,1310
2017,6,ODISHA,21,BOUDH,2122
2017,3,HARYANA,6,MEWAT,620
2017,4,ANDHRA PRADESH,28,PRAKASAM,2818
2017,7,JHARKHAND,20,CHATRA,2003
2017,7,PUDUCHERRY,34,KARAIKAL,3404
2017,2,JAMMU & KASHMIR,1,SHOPIAN,115
2017,6,LAKSHADWEEP,31,LAKSHADWEEP,3101
2017,4,TRIPURA,16,SOUTH TRIPURA,1602
2017,6,KARNATAKA,29,KODAGU,2925
2017,8,SIKKIM,11,NORTH SIKKIM,1101
2017,7,SIKKIM,11,SOUTH SIKKIM,1103
2017,3,WEST BENGAL,19,PASCHIM MEDINIPUR,1920
2017,9,NAGALAND,13,MON,1301
2017,9,MEGHALAYA,17,RI BHOI,1705
2017,12,SIKKIM,11,WEST SIKKIM,1102
2017,3,GUJARAT,24,VALSAD,2425
2017,9,NAGALAND,13,MON,1301
2017,1,MAHARASHTRA,27,MUMBAI (SUBURBAN),2722
2017,7,NAGALAND,13,KIPHIRE,1310
2017,11,SIKKIM,11,NORTH SIKKIM,1101
2017,2,KARNATAKA,29,KOPPAL,2907
2017,3,ODISHA,21,BOUDH,2122
2017,7,ANDHRA PRADESH,28,WEST GODAVARI,2815
2017,3,A & N ISLANDS,35,MIDDLE AND NORTH ANDAMANS,3503
2017,6,MIZORAM,15,LAWNGTLAI,1507
2017,7,ODISHA,21,BOUDH,2122
2017,11,CHANDIGARH,4,CHANDIGARH,401
2017,7,MADHYA PRADESH,23,DINDORI,2341
2017,11,KERALA,32,WAYANAD,3203
2017,9,ASSAM,18,DARRANG,1808
2017,6,KERALA,32,WAYANAD,3203
2017,6,RAJASTHAN,8,BANSWARA,828
2017,7,JAMMU & KASHMIR,1,KISHTWAR,117
2017,12,TRIPURA,16,SOUTH TRIPURA,1602
2017,6,NAGALAND,13,KIPHIRE,1310
2017,2,ODISHA,21,KENDRAPARA,2110
2017,1,BIHAR,10,MADHUBANI,1005
2017,4,WEST BENGAL,19,BANKURA,1913
2017,8,MIZORAM,15,LAWNGTLAI,1507
2017,11,DELHI,7,NORTH DELHI,702
2017,1,UTTARAKHAND,5,BAGESHWAR,508
2017,8,KARNATAKA,29,MANDYA,2922
2017,3,WEST BENGAL,19,KOCH BIHAR,1903
2017,1,MANIPUR,14,TAMENGLONG,1402
2017,8,TELANGANA,36,NIZAMABAD,3602
2017,11,TRIPURA,16,SOUTH TRIPURA,1602
2017,4,TAMIL NADU,33,PERAMBALUR,3316
2017,2,CHANDIGARH,4,CHANDIGARH,401
2017,1,MANIPUR,14,SENAPATI,1401
2017,2,TRIPURA,16,DHALAI,1603
2017,8,MANIPUR,14,TAMENGLONG,1402
2017,7,TAMIL NADU,33,PERAMBALUR,3316
