YEAR,MONTH,STATNAME,STATCD,DISTNAME,DISTCD
2010,10,MEGHALAYA,17,RI BHOI,1705
2010,11,ARUNACHAL PRADESH,12,WEST KAMENG,1202
2010,1,DAMAN & DIU,25,DAMAN,2502
2010,3,JHARKHAND,20,GARHWA,2001
2010,5,JHARKHAND,20,GARHWA,2001
2010,3,HIMACHAL PRADESH,2,MANDI,205
2010,10,DELHI,7,CENTRAL DELHI,706
2010,6,BIHAR,10,SAMASTIPUR,1019
2010,10,MIZORAM,15,CHAMPHAI,1504
2010,9,LAKSHADWEEP,31,LAKSHADWEEP,3101
2010,10,MADHYA PRADESH,23,SIDHI,2317
2010,7,RAJASTHAN,8,DUNGARPUR,827
2010,5,TRIPURA,16,DHALAI,1603
2010,9,TELANGANA,36,MAHBUBNAGAR,3607
2010,6,MANIPUR,14,CHURACHANDPUR,1403
2010,10,PUDUCHERRY,34,PONDICHERRY,3402
2010,7,TELANGANA,36,MAHBUBNAGAR,3607
2010,5,MANIPUR,14,TAMENGLONG,1402
2010,11,SIKKIM,11,NORTH SIKKIM,1101
2010,8,DAMAN & DIU,25,DAMAN,2502
2010,2,DELHI,7,CENTRAL DELHI,706
2010,12,MAHARASHTRA,27,MUMBAI II,2723
2010,1,HARYANA,6,FATEHABAD,610
2010,10,PUNJAB,3,NAWANSHAHR,306
2010,12,MIZORAM,15,CHAMPHAI,1504
2010,12,NAGALAND,13,MON,1301
2010,7,HARYANA,6,FATEHABAD,610
2010,9,MAHARASHTRA,27,GADCHIROLI,2712
2010,8,PUNJAB,3,RUPNAGAR,307
2010,4,HIMACHAL PRADESH,2,MANDI,205
2010,8,MEGHALAYA,17,JAINTIA HILLS,1707
2010,9,JHARKHAND,20,CHATRA,2003
2010,3,KERALA,32,WAYANAD,3203
2010,9,MANIPUR,14,CHURACHANDPUR,1403
2010,9,ASSAM,18,BAKSA,1824
2010,3,HIMACHAL PRADESH,2,KANGRA,202
2010,4,TELANGANA,36,NIZAMABAD,3602
2010,9,TRIPURA,16,DHALAI,1603
2010,7,GOA,30,SOUTH GOA,3002
2010,11,JHARKHAND,20,GODDA,2008
2010,11,TRIPURA,16,DHALAI,1603
2010,11,JHARKHAND,20,CHATRA,2003
2010,12,HIMACHAL PRADESH,2,MANDI,205
2010,10,ANDHRA PRADESH,28,PRAKASAM,2818
2010,10,MIZORAM,15,MAMIT,1501
2010,12,BIHAR,10,MADHUBANI,1005
2010,3,UTTARAKHAND,5,BAGESHWAR,508
2010,7,HIMACHAL PRADESH,2,BILASPUR (H.P.),208
2010,11,DELHI,7,NORTH DELHI,702
2010,12,KARNATAKA,29,KODAGU,2925
2010,4,ARUNACHAL PRADESH,12,Anjaw,1216
2010,8,DELHI,7,CENTRAL DELHI,706
2010,3,RAJASTHAN,8,BANSWARA,828
2010,3,JHARKHAND,20,GARHWA,2001
2010,8,MADHYA PRADESH,23,ALIRAJPUR,2349
2010,5,CHHATTISGARH,22,SURGUJA,2202
2010,8,UTTARAKHAND,5,RUDRAPRAYAG,503
2010,4,RAJASTHAN,8,BANSWARA,828
2010,1,TAMIL NADU,33,PERAMBALUR,3316
2010,11,DELHI,7,NORTH DELHI,702
2010,1,JHARKHAND,20,CHATRA,2003
2010,7,MIZORAM,15,LAWNGTLAI,1507
2010,3,JAMMU & KASHMIR,1,RAMBAN,118
2010,5,TAMIL NADU,33,DHARMAPURI,3305
2010,12,DAMAN & DIU,25,DIU,2501
2010,1,HIMACHAL PRADESH,2,BILASPUR (H.P.),208
2010,1,MANIPUR,14,TAMENGLONG,1402
2010,4,JHARKHAND,20,CHATRA,2003
2010,11,UTTARAKHAND,5,UTTARKASHI,501
2010,5,GOA,30,NORTH GOA,3001
2010,10,MADHYA PRADESH,23,SIDHI,2317
2010,2,HIMACHAL PRADESH,2,MANDI,205
2010,10,LAKSHADWEEP,31,LAKSHADWEEP,3101
2010,7,KERALA,32,WAYANAD,3203
2010,1,PUDUCHERRY,34,YANAM,3401
2010,10,A & N ISLANDS,35,ANDAMANS,3501
2010,12,DELHI,7,CENTRAL DELHI,706
2010,5,CHANDIGARH,4,CHANDIGARH,401
2010,8,RAJASTHAN,8,BANSWARA,828
2010,7,MADHYA PRADESH,23,SIDHI,2317
2010,3,UTTARAKHAND,5,BAGESHWAR,508
2010,6,ARUNACHAL PRADESH,12,Anjaw,1216
2010,8,LAKSHADWEEP,31,LAKSHADWEEP,3101
2010,3,DADRA & NAGAR HAVELI,26,DADRA AND NAGAR HAVELI(UT),2601
2010,5,DAMAN & DIU,25,DAMAN,2502
2010,2,PUNJAB,3,NAWANSHAHR,306
2010,12,MAHARASHTRA,27,MUMBAI (SUBURBAN),2722
2010,6,ASSAM,18,BAKSA,1824
2010,3,RAJASTHAN,8,BANSWARA,828
2010,5,GOA,30,SOUTH GOA,3002
2010,5,TELANGANA,36,NIZAMABAD,3602
2010,9,RAJASTHAN,8,BARMER,817
2010,12,DAMAN & DIU,25,DAMAN,2502
2010,1,SIKKIM,11,WEST SIKKIM,1102
2010,4,PUDUCHERRY,34,PONDICHERRY,3402
2010,4,UTTARAKHAND,5,UTTARKASHI,501
2010,10,MADHYA PRADESH,23,SIDHI,2317
2010,10,MEGHALAYA,17,JAINTIA HILLS,1707
2010,8,GOA,30,SOUTH GOA,3002
2010,5,NAGALAND,13,KIPHIRE,1310
2010,1,MIZORAM,15,LAWNGTLAI,1507
2010,11,DADRA & NAGAR HAVELI,26,DADRA AND NAGAR HAVELI(UT),2601
2010,3,JAMMU & KASHMIR,1,SHOPIAN,115
2010,1,RAJASTHAN,8,BANSWARA,828
2010,5,TRIPURA,16,DHALAI,1603
2010,5,ASSAM,18,UDALGURI,1826
2010,12,MANIPUR,14,TAMENGLONG,1402
2010,7,KARNATAKA,29,KODAGU,2925
2010,10,JHARKHAND,20,GODDA,2008
2010,9,A & N ISLANDS,35,NICOBARS,3502
2010,4,UTTAR PRADESH,9,KUSHINAGAR,959
2010,2,KARNATAKA,29,KOPPAL,2907
2010,4,CHHATTISGARH,22,KANKER,2214
2010,10,HARYANA,6,MAHENDRAGARH,616
2010,3,ASSAM,18,BAKSA,1824
2010,5,CHHATTISGARH,22,KANKER,2214
2010,3,ASSAM,18,UDALGURI,1826
2010,4,MEGHALAYA,17,SOUTH GARO HILLS,1703
2010,11,BIHAR,10,MADHUBANI,1005
2010,2,RAJASTHAN,8,DUNGARPUR,827
2010,7,SIKKIM,11,NORTH SIKKIM,1101
2010,9,A & N ISLANDS,35,ANDAMANS,3501
2010,4,MADHYA PRADESH,23,ALIRAJPUR,2349
2010,6,UTTARAKHAND,5,UTTARKASHI,501
2010,3,DADRA & NAGAR HAVELI,26,DADRA AND NAGAR HAVELI(UT),2601
2010,12,DAMAN & DIU,25,DIU,2501
2010,8,KARNATAKA,29,KODAGU,2925
2010,2,DAMAN & DIU,25,DIU,2501
2010,1,TELANGANA,36,NALGONDA,3608
2010,7,MANIPUR,14,CHURACHANDPUR,1403
