YEAR,MONTH,STATNAME,STATCD,DISTNAME,DISTCD
2011,4,CHANDIGARH,4,CHANDIGARH,401
2011,12,HIMACHAL PRADESH,2,KANGRA,202
2011,11,ASSAM,18,DARRANG,1808
2011,7,MANIPUR,14,CHURACHANDPUR,1403
2011,8,MIZORAM,15,MAMIT,1501
2011,8,DAMAN & DIU,25,DAMAN,2502
2011,4,PUDUCHERRY,34,PONDICHERRY,3402
2011,2,KERALA,32,WAYANAD,3203
2011,1,UTTAR PRADESH,9,KUSHINAGAR,959
2011,5,UTTARAKHAND,5,UTTARKASHI,501
2011,12,CHANDIGARH,4,CHANDIGARH,401
2011,2,PUNJAB,3,HOSHIARPUR,305
2011,4,KARNATAKA,29,MANDYA,2922
2011,1,UTTAR PRADESH,9,SHRAWASTI,951
2011,6,MANIPUR,14,CHURACHANDPUR,1403
2011,2,PUDUCHERRY,34,PONDICHERRY,3402
2011,9,MANIPUR,14,CHURACHANDPUR,1403
2011,9,RAJASTHAN,8,DUNGARPUR,827
2011,9,MEGHALAYA,17,SOUTH GARO HILLS,1703
2011,6,ASSAM,18,BAKSA,1824
2011,3,JAMMU & KASHMIR,1,RAMBAN,118
2011,5,CHANDIGARH,4,CHANDIGARH,401
2011,12,PUNJAB,3,RUPNAGAR,307
2011,10,WEST BENGAL,19,PASCHIM MEDINIPUR,1920
2011,10,MADHYA PRADESH,23,DINDORI,2341
2011,2,TRIPURA,16,NORTH TRIPURA,1604
2011,1,MAHARASHTRA,27,GADCHIROLI,2712
2011,6,ODISHA,21,NUAPADA,2125
2011,3,ANDHRA PRADESH,28,WEST GODAVARI,2815
2011,11,CHHATTISGARH,22,JASHPUR,2203
2011,5,DELHI,7,CENTRAL DELHI,706
2011,6,HARYANA,6,MAHENDRAGARH,616
2011,1,UTTAR PRADESH,9,KUSHINAGAR,959
2011,8,WEST BENGAL,19,KOCH BIHAR,1903
2011,1,ODISHA,21,BOUDH,2122
2011,7,A & N ISLANDS,35,NICOBARS,3502
2011,5,MADHYA PRADESH,23,SIDHI,2317
2011,3,KERALA,32,IDUKKI,3209
2011,1,ANDHRA PRADESH,28,SRIKAKULAM,2811
2011,1,A & N ISLANDS,35,MIDDLE AND NORTH ANDAMANS,3503
2011,1,ANDHRA PRADESH,28,WEST GODAVARI,2815
2011,12,JAMMU & KASHMIR,1,RAMBAN,118
2011,6,DELHI,7,NORTH DELHI,702
2011,7,RAJASTHAN,8,DUNGARPUR,827
2011,5,KARNATAKA,29,KODAGU,2925
